Title	HYBRID Chemgauss4 score	Receptor Title
MOL0029	-6.925736	2QD9(A) > LGF(A-361)
MOL0034	-6.925277	2QD9(A) > LGF(A-361)
MOL0066	-6.895025	2QD9(A) > LGF(A-361)
MOL0046	-6.839502	2QD9(A) > LGF(A-361)
MOL0085	-6.783834	2QD9(A) > LGF(A-361)
MOL0054	-6.769597	2QD9(A) > LGF(A-361)
MOL0013	-6.654980	2QD9(A) > LGF(A-361)
MOL0028	-6.623680	2QD9(A) > LGF(A-361)
MOL0101	-6.535058	2QD9(A) > LGF(A-361)
MOL0048	-6.529871	2QD9(A) > LGF(A-361)
MOL0056	-6.488580	2QD9(A) > LGF(A-361)
MOL0045	-6.482851	2QD9(A) > LGF(A-361)
MOL0010	-6.467933	2QD9(A) > LGF(A-361)
MOL0123	-6.384535	2QD9(A) > LGF(A-361)
MOL0058	-6.382725	2QD9(A) > LGF(A-361)
MOL0041	-6.274945	2QD9(A) > LGF(A-361)
MOL0040	-6.117176	2QD9(A) > LGF(A-361)
MOL0012	-6.114672	2QD9(A) > LGF(A-361)
MOL0128	-5.984087	2QD9(A) > LGF(A-361)
MOL0112	-5.955434	2QD9(A) > LGF(A-361)
MOL0077	-5.901942	2QD9(A) > LGF(A-361)
MOL0064	-5.892023	2QD9(A) > LGF(A-361)
MOL0115	-5.883123	2QD9(A) > LGF(A-361)
MOL0014	-5.837933	2QD9(A) > LGF(A-361)
MOL0069	-5.758360	2QD9(A) > LGF(A-361)
MOL0087	-5.742538	2QD9(A) > LGF(A-361)
MOL0026	-5.687147	2QD9(A) > LGF(A-361)
MOL0093	-5.667602	2QD9(A) > LGF(A-361)
MOL0003	-5.658004	2QD9(A) > LGF(A-361)
MOL0127	-5.450372	2QD9(A) > LGF(A-361)
MOL0000	-5.433971	2QD9(A) > LGF(A-361)
MOL0061	-5.424290	2QD9(A) > LGF(A-361)
MOL0117	-5.362609	2QD9(A) > LGF(A-361)
MOL0050	-5.353549	2QD9(A) > LGF(A-361)
MOL0119	-5.341884	2QD9(A) > LGF(A-361)
MOL0060	-5.312117	2QD9(A) > LGF(A-361)
MOL0114	-5.302975	2QD9(A) > LGF(A-361)
MOL0103	-5.238042	2QD9(A) > LGF(A-361)
MOL0121	-5.189075	2QD9(A) > LGF(A-361)
MOL0125	-5.175688	2QD9(A) > LGF(A-361)
MOL0068	-5.018690	2QD9(A) > LGF(A-361)
MOL0091	-4.768193	2QD9(A) > LGF(A-361)
MOL0092	-4.760809	2QD9(A) > LGF(A-361)
MOL0039	-4.675442	2QD9(A) > LGF(A-361)
MOL0009	-4.431581	2QD9(A) > LGF(A-361)
MOL0104	-4.420116	2QD9(A) > LGF(A-361)
MOL0020	-4.285082	2QD9(A) > LGF(A-361)
MOL0078	-4.254844	2QD9(A) > LGF(A-361)
MOL0100	-4.242522	2QD9(A) > LGF(A-361)
MOL0122	-4.191698	2QD9(A) > LGF(A-361)
MOL0113	-4.085784	2QD9(A) > LGF(A-361)
MOL0105	-3.969151	2QD9(A) > LGF(A-361)
MOL0035	-3.645004	2QD9(A) > LGF(A-361)
MOL0126	-3.340780	2QD9(A) > LGF(A-361)
MOL0076	-3.338498	2QD9(A) > LGF(A-361)
MOL0016	-3.287031	2QD9(A) > LGF(A-361)
MOL0099	-3.269726	2QD9(A) > LGF(A-361)
MOL0027	-3.011523	2QD9(A) > LGF(A-361)
MOL0011	-2.712259	2QD9(A) > LGF(A-361)
MOL0053	-1.787982	2QD9(A) > LGF(A-361)
MOL0118	-0.950494	2QD9(A) > LGF(A-361)
MOL0082	0.025768	2QD9(A) > LGF(A-361)
MOL0005	0.356088	2QD9(A) > LGF(A-361)
